#TYPE System.String
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","ReadCount","Length"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","1","13"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","2","0"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","3","82"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","4","56"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","5","35"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","6","0"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","7","61"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","8","60"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","9","144"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","10","20"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","11","71"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","12","104"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","13","51"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","14","63"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","15","68"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","16","8"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","17","14"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","18","20"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","19","20"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","20","21"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","21","25"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","22","20"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","23","20"
